0.002173,0.000010,0.120029,0.258834,0.093998,0.000010,0.068960,0.002208,0.002329,0.002286,0.002309,0.246598,0.263207
0.045472,0.014644,0.270869,0.103508,0.200773,0.194581,0.268549,0.002949,0.213280,0.021792,0.002830,0.002936,0.167951
0.220770,0.060222,0.060401,0.000010,0.002959,0.119649,0.161443,0.002969,0.000010,0.003005,0.233722,0.009374,0.002976
0.000010,0.081313,0.001379,0.001581,0.002954,0.002870,0.000010,0.138243,0.022112,0.000010,0.000010,0.001983,0.002782
0.002981,0.269215,0.000290,0.236756,0.258576,0.000010,0.002808,0.002797,0.082449,0.114865,0.002941,0.166802,0.000010
0.132718,0.000676,0.000010,0.184856,0.106549,0.142173,0.119837,0.000010,0.006833,0.000010,0.005620,0.253673,0.100145
0.168246,0.000010,0.000010,0.142144,0.251238,0.162073,0.198993,0.079640,0.173947,0.000010,0.129073,0.254269,0.000010
0.129673,0.027941,0.218966,0.013199,0.151599,0.001541,0.000010,0.000010,0.000010,0.000010,0.000010,0.219821,0.002951
0.099525,0.000010,0.000010,0.003009,0.000010,0.002949,0.222793,0.000127,0.000267,0.000010,0.000010,0.000010,0.226887
0.203424,0.123447,0.148746,0.102326,0.000010,0.000010,0.002537,0.002985,0.002593,0.002589,0.103447,0.000010,0.156668
0.000010,0.002852,0.029544,0.081787,0.010898,0.000010,0.091405,0.002805,0.197384,0.002810,0.119710,0.002748,0.083220
0.000003,0.000003,0.000003,0.000003,0.064375,0.000003,0.213704,0.210303,0.142029,0.221843,0.000003,0.258225,0.121870
0.000003,0.000003,0.073841,0.000003,0.111533,0.000003,0.125330,0.203807,0.191577,0.202613,0.074574,0.000003,0.127828
