0.070252,0.054703,0.000000,0.026037,0.000000,0.037897,0.210674,0.000000,0.068325,0.057913,0.219478,0.201092,0.096816,0.000000,0.000000
0.000010,0.000010,0.000010,0.021385,0.000010,0.018898,0.000010,0.203304,0.016282,0.000010,0.061423,0.040898,0.184089,0.039202,0.001010
0.000010,0.001010,0.000010,0.000010,0.001010,0.148725,0.213611,0.251891,0.010331,0.198846,0.072950,0.054681,0.003847,0.209219,0.000010
0.000000,0.000000,0.002801,0.000000,0.000000,0.221932,0.000000,0.062700,0.103148,0.000000,0.093852,0.238496,0.000000,0.095556,0.034191
0.057729,0.134156,0.000010,0.001010,0.000010,0.000010,0.000010,0.182774,0.000010,0.000010,0.000010,0.030348,0.001010,0.163736,0.004348
0.000000,0.000000,0.000000,0.159242,0.000000,0.044841,0.067080,0.000000,0.164324,0.000000,0.000000,0.000000,0.014468,0.000000,0.011232
0.024226,0.132596,0.001010,0.001010,0.174894,0.001010,0.229699,0.174195,0.028192,0.020855,0.001010,0.130042,0.121599,0.171901,0.001010
0.000000,0.084571,0.237071,0.000000,0.129452,0.255489,0.067086,0.000000,0.075788,0.012094,0.000000,0.000000,0.080630,0.000000,0.060579
0.254335,0.000010,0.000010,0.001010,0.000010,0.001010,0.032836,0.236236,0.136586,0.001008,0.074758,0.066310,0.189301,0.001010,0.001010
0.114098,0.127075,0.000000,0.000000,0.000000,0.192764,0.046688,0.000000,0.000000,0.034852,0.165552,0.014644,0.000000,0.205126,0.183417
0.000010,0.055935,0.000010,0.169589,0.023344,0.024448,0.000010,0.001010,0.103137,0.023259,0.000010,0.004578,0.001010,0.221327,0.082361
0.131443,0.081387,0.168910,0.198563,0.000000,0.215531,0.151563,0.000000,0.103037,0.000000,0.000000,0.000000,0.122012,0.000000,0.000000
0.001010,0.244488,0.001010,0.001010,0.172148,0.000010,0.000010,0.122233,0.062204,0.129123,0.092550,0.000010,0.001010,0.060419,0.194758
0.001010,0.001010,0.001010,0.071776,0.001010,0.001010,0.014554,0.000010,0.001010,0.001010,0.001010,0.000010,0.000010,0.062806,0.001010
0.154753,0.151786,0.000000,0.160561,0.000000,0.000000,0.126319,0.255917,0.208997,0.000000,0.123421,0.017924,0.068239,0.000000,0.000000
